"Row, Column (if applicable)->ScaleType:",Age,Ordinal Date,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,Duration,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",2,1,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",72,15,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",5,1,,,,,,,,,,,,,

Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
2,0.00055,0.00048,0.00042,0.00037,0.00033,0.00029,0.00027,0.00025,0.00026,0.00027,0.00029,0.00033,0.00036,0.00041,0.00047
7,0.00033,0.00029,0.00027,0.00025,0.00026,0.00027,0.00029,0.00033,0.00036,0.00041,0.00047,0.00053,0.00057,0.00059,0.00058
12,0.00027,0.00029,0.00033,0.00036,0.00041,0.00047,0.00053,0.00057,0.00059,0.00058,0.00056,0.00055,0.00054,0.00053,0.00054
17,0.00045,0.00049,0.00050,0.00051,0.00053,0.00056,0.00055,0.00054,0.00053,0.00054,0.00057,0.00060,0.00063,0.00066,0.00067
22,0.00050,0.00054,0.00052,0.00053,0.00054,0.00057,0.00060,0.00063,0.00066,0.00067,0.00070,0.00076,0.00083,0.00092,0.00102
27,0.00054,0.00059,0.00063,0.00066,0.00067,0.00070,0.00076,0.00083,0.00092,0.00102,0.00116,0.00131,0.00145,0.00160,0.00176
32,0.00070,0.00076,0.00083,0.00092,0.00102,0.00116,0.00131,0.00145,0.00160,0.00176,0.00191,0.00207,0.00226,0.00248,0.00270
37,0.00077,0.00098,0.00121,0.00144,0.00157,0.00178,0.00199,0.00219,0.00241,0.00262,0.00283,0.00308,0.00336,0.00366,0.00400
42,0.00087,0.00120,0.00155,0.00189,0.00212,0.00244,0.00273,0.00297,0.00322,0.00348,0.00371,0.00395,0.00458,0.00514,0.00563
47,0.00112,0.00151,0.00217,0.00249,0.00280,0.00318,0.00361,0.00396,0.00435,0.00475,0.00519,0.00562,0.00644,0.00710,0.00841
52,0.00188,0.00262,0.00351,0.00415,0.00460,0.00503,0.00559,0.00605,0.00651,0.00673,0.00777,0.00859,0.00980,0.01100,0.01250
57,0.00198,0.00278,0.00368,0.00426,0.00470,0.00503,0.00562,0.00621,0.00692,0.00816,0.01004,0.01184,0.01416,0.01566,0.01716
62,0.00286,0.00443,0.00621,0.00692,0.00816,0.01004,0.01156,0.01248,0.01340,0.01440,0.01591,0.01803,0.02038,0.02248,0.02483
67,0.00408,0.00638,0.00819,0.01093,0.01303,0.01489,0.01681,0.01869,0.02056,0.02270,0.02415,0.02581,0.02834,0.03058,0.03240
72,0.00615,0.00900,0.01211,0.01565,0.02114,0.02768,0.03511,0.04363,0.05323,0.06328,0.07529,0.08505,0.09623,0.10584,0.11433

Table # ,3,,,,,,,,,,,,,,
Table Description:,"1965-70 US SOA Basic Female, Age nearest-Ultimate",,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",15,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",99,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,,,,,,,,,,,,,,

Row\Column,1,,,,,,,,,,,,,,
15,0.00036,,,,,,,,,,,,,,
16,0.00041,,,,,,,,,,,,,,
17,0.00047,,,,,,,,,,,,,,
18,0.00053,,,,,,,,,,,,,,
19,0.00057,,,,,,,,,,,,,,
20,0.00059,,,,,,,,,,,,,,
21,0.00058,,,,,,,,,,,,,,
22,0.00056,,,,,,,,,,,,,,
23,0.00055,,,,,,,,,,,,,,
24,0.00054,,,,,,,,,,,,,,
25,0.00053,,,,,,,,,,,,,,
26,0.00054,,,,,,,,,,,,,,
27,0.00057,,,,,,,,,,,,,,
28,0.00060,,,,,,,,,,,,,,
29,0.00063,,,,,,,,,,,,,,
30,0.00066,,,,,,,,,,,,,,
31,0.00067,,,,,,,,,,,,,,
32,0.00070,,,,,,,,,,,,,,
33,0.00076,,,,,,,,,,,,,,
34,0.00083,,,,,,,,,,,,,,
35,0.00092,,,,,,,,,,,,,,
36,0.00102,,,,,,,,,,,,,,
37,0.00116,,,,,,,,,,,,,,
38,0.00131,,,,,,,,,,,,,,
39,0.00145,,,,,,,,,,,,,,
40,0.00160,,,,,,,,,,,,,,
41,0.00176,,,,,,,,,,,,,,
42,0.00191,,,,,,,,,,,,,,
43,0.00207,,,,,,,,,,,,,,
44,0.00226,,,,,,,,,,,,,,
45,0.00248,,,,,,,,,,,,,,
46,0.00270,,,,,,,,,,,,,,
47,0.00292,,,,,,,,,,,,,,
48,0.00317,,,,,,,,,,,,,,
49,0.00346,,,,,,,,,,,,,,
50,0.00374,,,,,,,,,,,,,,
51,0.00405,,,,,,,,,,,,,,
52,0.00439,,,,,,,,,,,,,,
53,0.00476,,,,,,,,,,,,,,
54,0.00513,,,,,,,,,,,,,,
55,0.00552,,,,,,,,,,,,,,
56,0.00594,,,,,,,,,,,,,,
57,0.00643,,,,,,,,,,,,,,
58,0.00704,,,,,,,,,,,,,,
59,0.00778,,,,,,,,,,,,,,
60,0.00858,,,,,,,,,,,,,,
61,0.00937,,,,,,,,,,,,,,
62,0.01009,,,,,,,,,,,,,,
63,0.01079,,,,,,,,,,,,,,
64,0.01152,,,,,,,,,,,,,,
65,0.01244,,,,,,,,,,,,,,
66,0.01354,,,,,,,,,,,,,,
67,0.01477,,,,,,,,,,,,,,
68,0.01627,,,,,,,,,,,,,,
69,0.01798,,,,,,,,,,,,,,
70,0.02005,,,,,,,,,,,,,,
71,0.02264,,,,,,,,,,,,,,
72,0.02604,,,,,,,,,,,,,,
73,0.02998,,,,,,,,,,,,,,
74,0.03451,,,,,,,,,,,,,,
75,0.03906,,,,,,,,,,,,,,
76,0.04374,,,,,,,,,,,,,,
77,0.04909,,,,,,,,,,,,,,
78,0.05479,,,,,,,,,,,,,,
79,0.06039,,,,,,,,,,,,,,
80,0.06605,,,,,,,,,,,,,,
81,0.07230,,,,,,,,,,,,,,
82,0.07936,,,,,,,,,,,,,,
83,0.08755,,,,,,,,,,,,,,
84,0.09773,,,,,,,,,,,,,,
85,0.10682,,,,,,,,,,,,,,
86,0.11483,,,,,,,,,,,,,,
87,0.12627,,,,,,,,,,,,,,
88,0.13982,,,,,,,,,,,,,,
89,0.15031,,,,,,,,,,,,,,
90,0.16659,,,,,,,,,,,,,,
91,0.19070,,,,,,,,,,,,,,
92,0.21042,,,,,,,,,,,,,,
93,0.22459,,,,,,,,,,,,,,
94,0.23421,,,,,,,,,,,,,,
95,0.23833,,,,,,,,,,,,,,
96,0.27696,,,,,,,,,,,,,,
97,0.39011,,,,,,,,,,,,,,
98,0.61779,,,,,,,,,,,,,,
99,1.00000,,,,,,,,,,,,,,
