Table Name:,"1985-90 Basic Table -  Male, ANB",,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,1985-90 Basic Table – Male. Basis: Age Nearest Birthday. Minimum Select Age: 0. Maximum Select Age: 99.,,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,Ordinal Date,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",0,1,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",99,25,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,1,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,0.00073,0.00043,0.00030,0.00028,0.00021,0.00019,0.00017,0.00018,0.00018,0.00018,0.00017,0.00020,0.00024,0.00029,0.00032,0.00048,0.00075,0.00089,0.00100,0.00106,0.00108,0.00108,0.00110,0.00111,0.00112
1,0.00027,0.00026,0.00026,0.00020,0.00017,0.00017,0.00017,0.00018,0.00017,0.00016,0.00019,0.00023,0.00028,0.00032,0.00047,0.00071,0.00084,0.00100,0.00106,0.00108,0.00108,0.00110,0.00111,0.00112,0.00116
2,0.00023,0.00024,0.00020,0.00017,0.00017,0.00017,0.000165,0.00016,0.00015,0.00018,0.00023,0.00027,0.00032,0.00046,0.00070,0.00083,0.00094,0.00106,0.00108,0.00108,0.00110,0.00111,0.00112,0.00116,0.00121
3,0.00020,0.00019,0.00017,0.00017,0.00017,0.00017,0.00016,0.00015,0.00018,0.00022,0.00025,0.00032,0.00045,0.00068,0.00082,0.00093,0.00098,0.00108,0.00108,0.00110,0.00111,0.00112,0.00116,0.00121,0.00130
4,0.00018,0.00017,0.00017,0.00017,0.000165,0.00016,0.00015,0.00018,0.00021,0.00025,0.00030,0.00045,0.00067,0.00082,0.00091,0.00097,0.00104,0.00108,0.00110,0.00111,0.00112,0.00116,0.00121,0.00130,0.00139
5,0.00017,0.00017,0.00017,0.00017,0.00016,0.00015,0.00018,0.00020,0.00025,0.00029,0.00045,0.00067,0.00082,0.00091,0.00097,0.00104,0.00104,0.00110,0.00111,0.00112,0.00116,0.00121,0.00130,0.00139,0.00144
6,0.00016,0.00016,0.00016,0.00016,0.00015,0.00018,0.00020,0.000245,0.00029,0.00044,0.00067,0.00082,0.00091,0.00097,0.00103,0.00103,0.00103,0.00104,0.00112,0.00116,0.00121,0.00130,0.00139,0.00144,0.00146
7,0.00015,0.00015,0.00015,0.00015,0.00018,0.00019,0.00025,0.00029,0.00043,0.00067,0.00082,0.00090,0.00096,0.00103,0.00102,0.00102,0.00103,0.00104,0.00116,0.00121,0.00130,0.00139,0.00144,0.00146,0.00148
8,0.00015,0.00015,0.00015,0.00017,0.00019,0.00025,0.00029,0.00042,0.00067,0.00082,0.00090,0.00095,0.00102,0.00102,0.00101,0.00102,0.00104,0.00111,0.00119,0.00130,0.00139,0.00144,0.00146,0.00148,0.00149
9,0.00015,0.00015,0.00017,0.00018,0.00024,0.00029,0.00041,0.00066,0.00081,0.00090,0.00095,0.00100,0.00101,0.00100,0.00101,0.00103,0.00109,0.00116,0.00129,0.00138,0.00144,0.00146,0.00148,0.00149,0.00153
10,0.00015,0.00016,0.00018,0.00023,0.00029,0.00040,0.00066,0.00080,0.00090,0.00094,0.00100,0.00099,0.00099,0.00100,0.00102,0.00107,0.00114,0.00126,0.00136,0.00142,0.00145,0.00148,0.00149,0.00153,0.00158
11,0.00015,0.00017,0.00022,0.00028,0.00039,0.00066,0.00080,0.00090,0.00094,0.00099,0.00099,0.00098,0.00099,0.00099,0.00104,0.00112,0.00124,0.00135,0.00141,0.00143,0.00147,0.00149,0.00153,0.00158,0.00162
12,0.00017,0.00021,0.00028,0.00038,0.00066,0.00080,0.00090,0.00094,0.00099,0.00098,0.00097,0.00098,0.00098,0.00103,0.00109,0.00121,0.00132,0.00139,0.00143,0.00146,0.00146,0.00153,0.00158,0.00162,0.00165
13,0.00020,0.00027,0.00037,0.00066,0.00079,0.00090,0.00094,0.00098,0.00097,0.00096,0.00097,0.00097,0.00102,0.00107,0.00118,0.00130,0.00138,0.00142,0.00145,0.00145,0.00151,0.00158,0.00162,0.00165,0.00166
14,0.00026,0.00036,0.00066,0.00078,0.00090,0.00093,0.00097,0.00096,0.00095,0.00096,0.00096,0.00101,0.00106,0.00117,0.00128,0.00136,0.00141,0.00143,0.00143,0.00150,0.00155,0.00159,0.00165,0.00166,0.00166
15,0.00035,0.00066,0.00077,0.00089,0.00093,0.00096,0.00094,0.00093,0.00094,0.00095,0.00100,0.00104,0.00115,0.00124,0.00134,0.00141,0.00142,0.00142,0.00147,0.00152,0.00154,0.00162,0.00166,0.00166,0.00166
16,0.00066,0.00077,0.00088,0.00092,0.00096,0.00094,0.00092,0.00093,0.00094,0.00099,0.00102,0.00113,0.00122,0.00130,0.00139,0.00140,0.00140,0.00143,0.00149,0.00149,0.00158,0.00162,0.00166,0.00166,0.00169
17,0.00076,0.00088,0.00090,0.00095,0.00093,0.00091,0.00092,0.00093,0.00097,0.00100,0.00111,0.00121,0.00126,0.00134,0.00137,0.00139,0.00140,0.00145,0.00144,0.00153,0.00161,0.00165,0.00166,0.00169,0.00171
18,0.00087,0.00088,0.00091,0.00092,0.00090,0.00091,0.00090,0.00095,0.00097,0.00108,0.00117,0.00118,0.00121,0.00128,0.00135,0.00137,0.00141,0.00141,0.00148,0.00156,0.00163,0.00163,0.00169,0.00171,0.00180
19,0.00085,0.00087,0.00085,0.00089,0.00090,0.00087,0.00087,0.00095,0.00106,0.00112,0.00114,0.00115,0.00116,0.00122,0.00129,0.00134,0.00136,0.00142,0.00147,0.00156,0.00161,0.00162,0.00171,0.00180,0.00192
20,0.00083,0.00078,0.00082,0.00086,0.00087,0.00084,0.00085,0.00094,0.00105,0.00108,0.00109,0.00111,0.00114,0.00117,0.00124,0.00130,0.00135,0.00141,0.00150,0.00156,0.00160,0.00168,0.00173,0.00192,0.00210
21,0.00074,0.00073,0.00077,0.00080,0.00083,0.00083,0.00085,0.00092,0.00099,0.00102,0.00105,0.00108,0.00112,0.00116,0.00123,0.00127,0.00134,0.00145,0.00151,0.00158,0.00165,0.00171,0.00188,0.00210,0.00230
22,0.00069,0.00067,0.00071,0.00076,0.00081,0.00083,0.00084,0.00092,0.00097,0.00100,0.00103,0.00108,0.00109,0.00117,0.00121,0.00129,0.00138,0.00146,0.00157,0.00161,0.00167,0.00184,0.00204,0.00230,0.00257
23,0.00063,0.00062,0.00067,0.00074,0.00082,0.00083,0.00086,0.00089,0.00093,0.00099,0.00100,0.00106,0.00111,0.00116,0.00121,0.00133,0.00141,0.00152,0.00158,0.00165,0.00181,0.00201,0.00225,0.00257,0.00287
24,0.00055,0.00058,0.00065,0.00074,0.00082,0.00085,0.00087,0.00089,0.00093,0.00096,0.00101,0.00104,0.00114,0.00117,0.00124,0.00136,0.00147,0.00154,0.00164,0.00177,0.00199,0.00221,0.00254,0.00284,0.00323
25,0.00050,0.00055,0.00064,0.00073,0.00079,0.00083,0.00087,0.00091,0.00094,0.00099,0.00104,0.00113,0.00115,0.00119,0.00129,0.00142,0.00151,0.00162,0.00175,0.00197,0.00218,0.00252,0.00281,0.00316,0.00358
26,0.00044,0.00052,0.00062,0.00069,0.00074,0.00080,0.00087,0.00093,0.00097,0.00100,0.00106,0.00110,0.00115,0.00124,0.00134,0.00147,0.00160,0.00173,0.00195,0.00216,0.00249,0.00278,0.00310,0.00354,0.00391
27,0.00039,0.00049,0.00058,0.00064,0.00069,0.00077,0.00087,0.00095,0.00098,0.00103,0.00106,0.00114,0.00121,0.00130,0.00141,0.00158,0.00171,0.00193,0.00214,0.00246,0.00275,0.00307,0.00349,0.00388,0.00421
28,0.00041,0.00051,0.00059,0.00065,0.00071,0.00079,0.00090,0.00096,0.00102,0.00104,0.00113,0.00120,0.00126,0.00138,0.00152,0.00167,0.00191,0.00212,0.00244,0.00272,0.00303,0.00343,0.00382,0.00417,0.00461
29,0.00042,0.00051,0.00060,0.00067,0.00073,0.00083,0.00093,0.00099,0.00103,0.00111,0.00118,0.00126,0.00137,0.00150,0.00163,0.00189,0.00209,0.00241,0.00270,0.00300,0.00340,0.00376,0.00409,0.00451,0.00506
30,0.00042,0.00052,0.00060,0.00070,0.00077,0.00086,0.00094,0.00103,0.00111,0.00117,0.00125,0.00135,0.00148,0.00161,0.00181,0.00207,0.00239,0.00267,0.00297,0.00336,0.00372,0.00400,0.00447,0.00501,0.00566
31,0.00042,0.00052,0.00061,0.00071,0.00079,0.00088,0.00095,0.00105,0.00116,0.00124,0.00134,0.00147,0.00160,0.00180,0.00202,0.00236,0.00264,0.00294,0.00333,0.00368,0.00396,0.00442,0.00496,0.00561,0.00632
32,0.00041,0.00052,0.00063,0.00073,0.00081,0.00089,0.00096,0.00108,0.00122,0.00133,0.00146,0.00158,0.00177,0.00200,0.00231,0.00261,0.00291,0.00325,0.00364,0.00392,0.00438,0.00491,0.00561,0.00629,0.00714
33,0.00043,0.00056,0.00068,0.00079,0.00086,0.00096,0.00104,0.00116,0.00129,0.00142,0.00156,0.00175,0.00196,0.00226,0.00256,0.00287,0.00318,0.00356,0.00388,0.00433,0.00486,0.00555,0.00625,0.00713,0.00801
34,0.00044,0.00059,0.00073,0.00084,0.00093,0.00103,0.00113,0.00126,0.00139,0.00155,0.00173,0.00195,0.00222,0.00249,0.00280,0.00315,0.00348,0.00383,0.00428,0.00483,0.00552,0.00625,0.00712,0.00798,0.00882
35,0.00046,0.00062,0.00078,0.00090,0.00099,0.00111,0.00123,0.00137,0.00154,0.00172,0.00194,0.00219,0.00246,0.00272,0.00307,0.00345,0.00379,0.00424,0.00481,0.00549,0.00623,0.00712,0.00796,0.00882,0.00981
36,0.00047,0.00065,0.00083,0.00096,0.00106,0.00119,0.00128,0.00151,0.00166,0.00190,0.00214,0.00246,0.00270,0.00299,0.00335,0.00375,0.00419,0.00475,0.00547,0.00622,0.00711,0.00794,0.00880,0.00971,0.01074
37,0.00047,0.00068,0.00088,0.00103,0.00116,0.00126,0.00147,0.00162,0.00185,0.00213,0.00243,0.00266,0.00297,0.00332,0.00368,0.00415,0.00473,0.00544,0.00620,0.00710,0.00793,0.00876,0.00956,0.01068,0.01160
38,0.00049,0.00072,0.00092,0.00108,0.00122,0.00144,0.00160,0.00183,0.00211,0.00243,0.00266,0.00293,0.00328,0.00365,0.00409,0.00470,0.00541,0.00619,0.00709,0.00792,0.00873,0.00951,0.01052,0.01148,0.01254
39,0.00052,0.00076,0.00098,0.00115,0.00134,0.00153,0.00178,0.00206,0.00240,0.00263,0.00290,0.00325,0.00363,0.00408,0.00466,0.00538,0.00619,0.00709,0.00791,0.00869,0.00948,0.01041,0.01142,0.01241,0.01344
40,0.00055,0.00082,0.00106,0.00128,0.00146,0.00165,0.00194,0.00228,0.00262,0.00290,0.00321,0.00361,0.00402,0.00461,0.00532,0.00616,0.00708,0.00789,0.00866,0.00946,0.01036,0.01136,0.01228,0.01329,0.01469
41,0.00059,0.00090,0.00119,0.00142,0.00161,0.00186,0.00209,0.00246,0.00288,0.00317,0.00353,0.00400,0.00451,0.00522,0.00615,0.00707,0.00788,0.00864,0.00941,0.01030,0.01130,0.01215,0.01315,0.01454,0.01636
42,0.00065,0.00103,0.00134,0.00159,0.00181,0.00197,0.00224,0.00268,0.00314,0.00345,0.00394,0.00443,0.00510,0.00610,0.00707,0.00786,0.00862,0.00938,0.01019,0.01124,0.01202,0.01301,0.01423,0.01601,0.01741
43,0.00077,0.00112,0.00144,0.00176,0.00196,0.00219,0.00250,0.00293,0.00339,0.00385,0.00434,0.00499,0.00603,0.00699,0.00785,0.00860,0.00933,0.01009,0.01112,0.01189,0.01287,0.01399,0.01567,0.01703,0.01887
44,0.00089,0.00122,0.00159,0.00193,0.00214,0.00245,0.00276,0.00318,0.00369,0.00419,0.00494,0.00579,0.00669,0.00769,0.00858,0.00929,0.01003,0.01101,0.01176,0.01272,0.01376,0.01515,0.01666,0.01827,0.02053
45,0.00102,0.00138,0.00174,0.00211,0.00235,0.00272,0.00304,0.00349,0.00388,0.00457,0.00548,0.00645,0.00738,0.00848,0.00924,0.00998,0.01089,0.01163,0.01258,0.01360,0.01464,0.01647,0.01787,0.02009,0.02263
46,0.00122,0.00153,0.00189,0.00231,0.00271,0.00300,0.00337,0.00371,0.00421,0.00501,0.00609,0.00714,0.00816,0.00902,0.00993,0.01077,0.01150,0.01244,0.01344,0.01429,0.01591,0.01747,0.01987,0.02239,0.02478
47,0.00143,0.00168,0.00207,0.00253,0.00298,0.00334,0.00364,0.00403,0.00463,0.00552,0.00672,0.00794,0.00880,0.00973,0.01059,0.01143,0.01229,0.01321,0.01403,0.01553,0.01727,0.01966,0.02215,0.02371,0.02692
48,0.00147,0.00181,0.00224,0.00272,0.00324,0.00359,0.00398,0.00450,0.00523,0.00616,0.00752,0.00863,0.00943,0.01026,0.01120,0.01215,0.01313,0.01395,0.01516,0.01707,0.01944,0.02215,0.02317,0.02632,0.02958
49,0.00153,0.00195,0.00242,0.00295,0.00345,0.00392,0.00444,0.00507,0.00587,0.00693,0.00818,0.00935,0.01000,0.01086,0.01190,0.01297,0.01386,0.01507,0.01687,0.01922,0.02167,0.02290,0.02572,0.02925,0.03205
50,0.00158,0.00209,0.00262,0.00310,0.00371,0.00435,0.00500,0.00568,0.00663,0.00767,0.00885,0.00970,0.01063,0.01158,0.01270,0.01377,0.01497,0.01667,0.01878,0.02118,0.02263,0.02512,0.02892,0.03169,0.03520
51,0.00161,0.00224,0.00274,0.00331,0.00406,0.00488,0.00559,0.00640,0.00738,0.00825,0.00954,0.01037,0.01141,0.01249,0.01330,0.01497,0.01646,0.01834,0.02070,0.02236,0.02482,0.02827,0.03115,0.03481,0.03839
52,0.00164,0.00230,0.00292,0.00358,0.00449,0.00544,0.00630,0.00711,0.00795,0.00890,0.01023,0.01111,0.01240,0.01295,0.01448,0.01626,0.01791,0.02022,0.02209,0.02452,0.02761,0.03061,0.03402,0.03751,0.04225
53,0.00166,0.00242,0.00316,0.00396,0.00490,0.00597,0.00683,0.00755,0.00861,0.00959,0.01083,0.01220,0.01288,0.01444,0.01560,0.01747,0.01974,0.02182,0.02423,0.02728,0.03025,0.03323,0.03664,0.04129,0.04698
54,0.00171,0.00258,0.00349,0.00435,0.00540,0.00644,0.00712,0.00809,0.00927,0.01050,0.01199,0.01273,0.01434,0.01544,0.01672,0.01926,0.02155,0.02393,0.02695,0.02989,0.03283,0.03621,0.04033,0.04698,0.05293
55,0.00179,0.00281,0.00382,0.00484,0.00586,0.00666,0.00758,0.00861,0.01014,0.01175,0.01262,0.01408,0.01529,0.01587,0.01864,0.02128,0.02363,0.02662,0.02917,0.03243,0.03577,0.03985,0.04646,0.05236,0.05750
56,0.00192,0.00304,0.00426,0.00530,0.00608,0.00704,0.00791,0.00932,0.01134,0.01252,0.01379,0.01503,0.01544,0.01817,0.02059,0.02348,0.02629,0.02881,0.03204,0.03511,0.03937,0.04594,0.05178,0.05687,0.06339
57,0.00204,0.00336,0.00466,0.00553,0.00646,0.00728,0.00852,0.01034,0.01232,0.01344,0.01465,0.01501,0.01769,0.01980,0.02286,0.02564,0.02845,0.03164,0.03468,0.03889,0.04541,0.05120,0.05624,0.06269,0.07145
58,0.00248,0.00382,0.00492,0.00603,0.00685,0.00801,0.00936,0.01107,0.01314,0.01435,0.01458,0.01725,0.01927,0.02198,0.02480,0.02809,0.03085,0.03424,0.03841,0.04437,0.05063,0.05561,0.06269,0.07107,0.08102
59,0.00293,0.00408,0.00538,0.00641,0.00766,0.00884,0.01025,0.01194,0.01340,0.01430,0.01706,0.01848,0.02110,0.02384,0.02717,0.03006,0.03381,0.03793,0.04385,0.04948,0.05498,0.06199,0.07068,0.08060,0.09068
60,0.00328,0.00453,0.00572,0.00720,0.00838,0.00975,0.01110,0.01239,0.01329,0.01507,0.01786,0.02022,0.02319,0.02682,0.02946,0.03315,0.03745,0.04280,0.04833,0.05434,0.06130,0.07030,0.08018,0.09068,0.09896
61,0.00364,0.00487,0.00646,0.00791,0.00937,0.01060,0.01174,0.01248,0.01416,0.01569,0.01857,0.02255,0.02611,0.02869,0.03249,0.03697,0.04176,0.04775,0.05371,0.06060,0.06991,0.07976,0.09068,0.09886,0.10776
62,0.00400,0.00562,0.00712,0.00889,0.01027,0.01129,0.01197,0.01384,0.01531,0.01788,0.02190,0.02541,0.02830,0.03121,0.03623,0.04098,0.04718,0.05308,0.05990,0.06953,0.07935,0.09022,0.09876,0.10765,0.11744
63,0.00432,0.00597,0.00785,0.00964,0.01087,0.01177,0.01375,0.01505,0.01717,0.02062,0.02505,0.02752,0.03035,0.03529,0.04031,0.04603,0.05245,0.05921,0.06915,0.07893,0.08977,0.09866,0.10754,0.11744,0.12654
64,0.00459,0.00654,0.00846,0.01014,0.01105,0.01329,0.01478,0.01671,0.01997,0.02435,0.02675,0.02950,0.03435,0.03876,0.04500,0.05182,0.05851,0.06876,0.07851,0.08931,0.09856,0.10743,0.11732,0.12654,0.13603
65,0.00488,0.00698,0.00890,0.01017,0.01226,0.01462,0.01612,0.01933,0.02364,0.02597,0.02864,0.03341,0.03773,0.04272,0.05067,0.05816,0.06838,0.07809,0.08885,0.09846,0.10732,0.11721,0.12642,0.13603,0.14589
66,0.00511,0.00733,0.00885,0.01087,0.01323,0.01553,0.01868,0.02294,0.02520,0.02779,0.03200,0.03669,0.04101,0.04880,0.05724,0.06799,0.07768,0.08839,0.09836,0.10721,0.11709,0.12629,0.13603,0.14589,0.15595
67,0.00534,0.00725,0.00924,0.01147,0.01453,0.01829,0.02245,0.02442,0.02762,0.03105,0.03514,0.03930,0.04629,0.05517,0.06693,0.07726,0.08793,0.09826,0.10710,0.11697,0.12616,0.13590,0.14575,0.15595,0.16703
68,0.00566,0.00769,0.00990,0.01252,0.01564,0.01937,0.02352,0.02744,0.02964,0.03359,0.03759,0.04598,0.05379,0.06541,0.07684,0.08748,0.09816,0.10699,0.11685,0.12604,0.13576,0.14575,0.15579,0.16687,0.17891
69,0.00619,0.00839,0.01085,0.01359,0.01677,0.02053,0.02468,0.02869,0.03322,0.03588,0.04570,0.05241,0.06389,0.07517,0.08702,0.09806,0.10689,0.11674,0.12591,0.13563,0.14560,0.15579,0.16687,0.17873,0.19143
70,0.00676,0.00915,0.01181,0.01470,0.01803,0.02183,0.02578,0.02985,0.03485,0.04003,0.04981,0.05933,0.07350,0.08610,0.09796,0.10678,0.11662,0.12578,0.13549,0.14560,0.15563,0.16670,0.17873,0.19124,0.20483
71,0.00752,0.01006,0.01290,0.01594,0.01945,0.02313,0.02679,0.03107,0.03634,0.04230,0.05432,0.07016,0.08519,0.09596,0.10667,0.11650,0.12566,0.13535,0.14546,0.15563,0.16670,0.17855,0.19105,0.20442,0.21968
72,0.00837,0.01116,0.01412,0.01924,0.02259,0.02441,0.03019,0.03441,0.03791,0.04464,0.05896,0.08387,0.09396,0.10449,0.11638,0.12553,0.13522,0.14531,0.15563,0.16653,0.17855,0.19105,0.20422,0.21924,0.23616
73,0.00882,0.01357,0.01881,0.02164,0.02377,0.02905,0.03316,0.03655,0.04335,0.05262,0.07694,0.08896,0.10123,0.11051,0.12414,0.13345,0.14312,0.15470,0.16553,0.17712,0.18760,0.20360,0.21748,0.23006,0.25446
74,0.00969,0.01497,0.02070,0.02326,0.02734,0.03191,0.03517,0.04183,0.05262,0.07328,0.08397,0.09687,0.10698,0.12034,0.13072,0.14166,0.15392,0.16386,0.17533,0.18569,0.20319,0.21748,0.22987,0.25446,0.27482
75,0.01068,0.01647,0.02274,0.02620,0.03003,0.03379,0.04031,0.05262,0.07053,0.07997,0.09252,0.10345,0.11654,0.12800,0.14020,0.15313,0.16218,0.17354,0.18569,0.20176,0.21748,0.22966,0.25446,0.27482,0.29749
76,0.01176,0.01809,0.02506,0.02878,0.03310,0.03879,0.05178,0.06687,0.07597,0.08816,0.09875,0.11274,0.12528,0.13874,0.15157,0.16051,0.17175,0.18377,0.20176,0.21529,0.22945,0.25446,0.27482,0.29749,0.32277
77,0.01291,0.01994,0.02753,0.03172,0.03727,0.04928,0.06229,0.07197,0.08381,0.09522,0.10894,0.12391,0.13655,0.15001,0.15884,0.16996,0.18377,0.20073,0.21529,0.22924,0.25446,0.27482,0.29749,0.32277,0.35182
78,0.01424,0.02190,0.03034,0.03575,0.04843,0.05862,0.06697,0.07837,0.09170,0.10514,0.12119,0.13436,0.14845,0.15717,0.16818,0.18186,0.19869,0.21309,0.22904,0.25446,0.27482,0.29749,0.32277,0.35182,0.38525
79,0.01564,0.02414,0.03347,0.04345,0.05312,0.06297,0.07401,0.08699,0.10134,0.11711,0.13144,0.14688,0.15382,0.16818,0.18186,0.19869,0.21309,0.22883,0.25446,0.27482,0.29749,0.32277,0.35182,0.38525,0.42377
80,0.01724,0.02662,0.03675,0.04765,0.05797,0.06966,0.08229,0.09754,0.11302,0.12852,0.14532,0.15215,0.16639,0.17994,0.19766,0.21309,0.22878,0.25446,0.27482,0.29749,0.32277,0.35182,0.38525,0.42377,0.46827
81,0.01901,0.02924,0.04030,0.05199,0.06422,0.07759,0.09374,0.10894,0.12559,0.14220,0.15048,0.16460,0.17994,0.19664,0.21309,0.22872,0.25446,0.27482,0.29749,0.32277,0.35182,0.38525,0.42377,0.46827,0.51978
82,0.02087,0.03207,0.04398,0.06064,0.07406,0.08994,0.10349,0.12048,0.13907,0.14881,0.16460,0.17803,0.19561,0.21199,0.22866,0.25446,0.27482,0.29749,0.32277,0.35182,0.38525,0.42377,0.46827,0.51978,0.58215
83,0.02289,0.03963,0.05258,0.06983,0.08487,0.09940,0.11683,0.13595,0.14546,0.16281,0.17612,0.19459,0.21089,0.22859,0.25446,0.27482,0.29749,0.32277,0.35182,0.38525,0.42377,0.46827,0.51978,0.58215,0.65783
84,0.03034,0.04821,0.06186,0.07992,0.09532,0.11245,0.13126,0.14212,0.15923,0.17420,0.19254,0.21089,0.22853,0.25446,0.27482,0.29749,0.32277,0.35182,0.38525,0.42377,0.46827,0.51978,0.58215,0.65783,0.74993
85,0.03887,0.05753,0.07211,0.09093,0.10807,0.12501,0.14045,0.15923,0.17420,0.19049,0.21089,0.22847,0.25446,0.27482,0.29749,0.32277,0.35182,0.38525,0.42377,0.46827,0.51978,0.58215,0.65783,0.74993,0.86241
86,0.04828,0.06786,0.08338,0.10292,0.12032,0.13710,0.15744,0.17229,0.18844,0.20979,0.22841,0.25446,0.27482,0.29749,0.32277,0.35182,0.38525,0.42377,0.46827,0.51978,0.58215,0.65783,0.74993,0.86241,0.99999
87,0.05881,0.07928,0.09571,0.11589,0.13376,0.15386,0.17037,0.18742,0.20870,0.22834,0.25446,0.27482,0.29749,0.32277,0.35182,0.38525,0.42377,0.46827,0.51978,0.58215,0.65783,0.74993,0.86241,0.99999,0.99999
88,0.07051,0.09180,0.10914,0.13017,0.15028,0.17037,0.18640,0.20870,0.22828,0.25446,0.27482,0.29749,0.32277,0.35182,0.38525,0.42377,0.46827,0.51978,0.58215,0.65783,0.74993,0.86241,0.99999,0.99999,0.99999
89,0.08344,0.10548,0.12399,0.14589,0.16654,0.18435,0.20870,0.22822,0.25446,0.27482,0.29749,0.32277,0.35182,0.38525,0.42377,0.46827,0.51978,0.58215,0.65783,0.74993,0.86241,0.99999,0.99999,0.99999,0.99999
90,0.09765,0.12063,0.14038,0.16317,0.18435,0.20760,0.22816,0.25446,0.27482,0.29749,0.32277,0.35182,0.38525,0.42377,0.46827,0.51978,0.58215,0.65783,0.74993,0.86241,0.99999,0.99999,0.99999,0.99999,0.99999
91,0.11345,0.13738,0.15845,0.18215,0.20650,0.22809,0.25446,0.27482,0.29749,0.32277,0.35182,0.38525,0.42377,0.46827,0.51978,0.58215,0.65783,0.74993,0.86241,0.99999,0.99999,0.99999,0.99999,0.99999,0.99999
92,0.13099,0.15588,0.17836,0.20347,0.22790,0.25446,0.27482,0.29749,0.32277,0.35182,0.38525,0.42377,0.46827,0.51978,0.58215,0.65783,0.74993,0.86241,0.99999,0.99999,0.99999,0.99999,0.99999,0.99999,0.99999
93,0.15040,0.17631,0.20075,0.22745,0.25446,0.27482,0.29749,0.32277,0.35182,0.38525,0.42377,0.46827,0.51978,0.58215,0.65783,0.74993,0.86241,0.99999,0.99999,0.99999,0.99999,0.99999,0.99999,0.99999,0.99999
94,0.17191,0.19929,0.22599,0.25446,0.27482,0.29749,0.32277,0.35182,0.38525,0.42377,0.46827,0.51978,0.58215,0.65783,0.74993,0.86241,0.99999,0.99999,0.99999,0.99999,0.99999,0.99999,0.99999,0.99999,0.99999
