Table Name:,"1990-95 Basic Table - Male, ANB",,,,,,,,,,,,,,,,,,,,,,,,
13,0.00016,0.00023,0.00032,0.00064,0.00074,0.00081,0.00081,0.00082,0.00083,0.00084,0.00084,0.00085,0.00087,0.00090,0.00095,0.00110,0.00128,0.00138,0.00148,0.00153,0.00164,0.00175,0.00186,0.00194,0.00206
14,0.00022,0.00031,0.00064,0.00073,0.00081,0.00081,0.00082,0.00083,0.00084,0.00083,0.00084,0.00086,0.00088,0.00094,0.00106,0.00124,0.00137,0.00148,0.00151,0.00162,0.00174,0.00185,0.00194,0.00206,0.00212
15,0.00030,0.00064,0.00073,0.00081,0.00081,0.00081,0.00081,0.00082,0.00083,0.00084,0.00085,0.00088,0.00092,0.00102,0.00123,0.00137,0.00147,0.00149,0.00160,0.00173,0.00184,0.00194,0.00206,0.00212,0.00220
16,0.00064,0.00073,0.00081,0.00080,0.00081,0.00079,0.00080,0.00081,0.00082,0.00084,0.00086,0.00091,0.00101,0.00119,0.00132,0.00141,0.00148,0.00159,0.00172,0.00183,0.00193,0.00202,0.00212,0.00219,0.00220
17,0.00073,0.00081,0.00080,0.00081,0.00079,0.00080,0.00081,0.00082,0.00083,0.00086,0.00088,0.00098,0.00113,0.00128,0.00131,0.00142,0.00154,0.00165,0.00178,0.00191,0.00202,0.00210,0.00218,0.00218,0.00218
18,0.00081,0.00080,0.00081,0.00079,0.00079,0.00079,0.00080,0.00081,0.00084,0.00087,0.00097,0.00108,0.00127,0.00130,0.00130,0.00144,0.00161,0.00174,0.00187,0.00198,0.00208,0.00215,0.00217,0.00218,0.00218
19,0.00079,0.00079,0.00078,0.00077,0.00077,0.00078,0.00079,0.00082,0.00087,0.00097,0.00102,0.00123,0.00127,0.00128,0.00131,0.00151,0.00167,0.00181,0.00194,0.00204,0.00213,0.00217,0.00217,0.00218,0.00220
20,0.00077,0.00072,0.00073,0.00072,0.00070,0.00072,0.00074,0.00079,0.00087,0.00101,0.00111,0.00122,0.00123,0.00126,0.00133,0.00156,0.00175,0.00190,0.00200,0.00209,0.00215,0.00217,0.00216,0.00220,0.00229
21,0.00067,0.00064,0.00065,0.00066,0.00068,0.00069,0.00077,0.00083,0.00087,0.00096,0.00108,0.00117,0.00119,0.00126,0.00135,0.00159,0.00181,0.00193,0.00204,0.00212,0.00212,0.00212,0.00216,0.00229,0.00242
22,0.00063,0.00060,0.00061,0.00061,0.00065,0.00073,0.00082,0.00083,0.00081,0.00091,0.00102,0.00112,0.00115,0.00124,0.00135,0.00161,0.00185,0.00195,0.00208,0.00208,0.00209,0.00216,0.00224,0.00242,0.00258
23,0.00056,0.00053,0.00055,0.00059,0.00065,0.00075,0.00082,0.00077,0.00074,0.00092,0.00102,0.00112,0.00117,0.00125,0.00140,0.00167,0.00189,0.00199,0.00203,0.00207,0.00212,0.00224,0.00236,0.00253,0.00275
24,0.00047,0.00049,0.00050,0.00059,0.00067,0.00081,0.00072,0.00073,0.00088,0.00094,0.00103,0.00112,0.00117,0.00128,0.00142,0.00171,0.00192,0.00199,0.00203,0.00209,0.00222,0.00234,0.00252,0.00269,0.00289
25,0.00039,0.00043,0.00049,0.00060,0.00071,0.00070,0.00070,0.00086,0.00090,0.00097,0.00104,0.00111,0.00118,0.00127,0.00145,0.00177,0.00190,0.00199,0.00207,0.00220,0.00233,0.00251,0.00269,0.00288,0.00306
26,0.00036,0.00042,0.00049,0.00063,0.00069,0.00069,0.00082,0.00085,0.00091,0.00099,0.00103,0.00110,0.00116,0.00128,0.00148,0.00174,0.00195,0.00205,0.00217,0.00232,0.00251,0.00268,0.00286,0.00305,0.00332
27,0.00033,0.00041,0.00051,0.00060,0.00067,0.00073,0.00077,0.00085,0.00093,0.00100,0.00108,0.00112,0.00122,0.00129,0.00148,0.00180,0.00205,0.00215,0.00230,0.00249,0.00267,0.00285,0.00305,0.00331,0.00366
28,0.00033,0.00045,0.00052,0.00062,0.00068,0.00075,0.00081,0.00088,0.00095,0.00105,0.00108,0.00116,0.00126,0.00137,0.00155,0.00185,0.00211,0.00227,0.00248,0.00267,0.00284,0.00304,0.00331,0.00366,0.00406
29,0.00032,0.00045,0.00053,0.00062,0.00069,0.00077,0.00084,0.00091,0.00099,0.00107,0.00115,0.00125,0.00135,0.00147,0.00166,0.00197,0.00225,0.00248,0.00265,0.00283,0.00303,0.00331,0.00365,0.00405,0.00453
30,0.00032,0.00044,0.00053,0.00062,0.00070,0.00079,0.00087,0.00094,0.00100,0.00111,0.00121,0.00132,0.00144,0.00160,0.00182,0.00212,0.00247,0.00265,0.00283,0.00303,0.00330,0.00364,0.00405,0.00452,0.00507
31,0.00030,0.00043,0.00053,0.00063,0.00072,0.00080,0.00090,0.00095,0.00103,0.00114,0.00126,0.00140,0.00159,0.00179,0.00204,0.00235,0.00264,0.00283,0.00302,0.00329,0.00364,0.00404,0.00451,0.00506,0.00570
32,0.00029,0.00041,0.00053,0.00063,0.00073,0.00082,0.00091,0.00100,0.00110,0.00116,0.00131,0.00152,0.00178,0.00203,0.00229,0.00264,0.00281,0.00301,0.00329,0.00363,0.00403,0.00450,0.00505,0.00566,0.00635
33,0.00031,0.00043,0.00056,0.00066,0.00077,0.00086,0.00098,0.00106,0.00113,0.00123,0.00140,0.00164,0.00194,0.00226,0.00251,0.00281,0.00301,0.00328,0.00363,0.00401,0.00448,0.00504,0.00563,0.00632,0.00704
34,0.00033,0.00045,0.00058,0.00070,0.00080,0.00092,0.00104,0.00112,0.00121,0.00134,0.00153,0.00180,0.00215,0.00248,0.00272,0.00300,0.00327,0.00362,0.00400,0.00445,0.00503,0.00557,0.00625,0.00697,0.00756
35,0.00035,0.00047,0.00060,0.00072,0.00084,0.00097,0.00109,0.00120,0.00133,0.00152,0.00171,0.00199,0.00235,0.00270,0.00294,0.00325,0.00361,0.00399,0.00443,0.00498,0.00554,0.00618,0.00693,0.00748,0.00819
36,0.00037,0.00049,0.00062,0.00075,0.00088,0.00100,0.00114,0.00130,0.00150,0.00169,0.00196,0.00219,0.00254,0.00293,0.00324,0.00361,0.00398,0.00436,0.00497,0.00551,0.00615,0.00690,0.00744,0.00813,0.00906
37,0.00039,0.00050,0.00064,0.00077,0.00090,0.00104,0.00123,0.00146,0.00165,0.00192,0.00214,0.00238,0.00276,0.00324,0.00361,0.00396,0.00435,0.00492,0.00545,0.00612,0.00686,0.00740,0.00809,0.00898,0.01015
38,0.00042,0.00056,0.00071,0.00082,0.00095,0.00112,0.00136,0.00161,0.00189,0.00212,0.00232,0.00259,0.00301,0.00351,0.00391,0.00434,0.00487,0.00540,0.00605,0.00682,0.00739,0.00806,0.00894,0.01009,0.01147
39,0.00045,0.00062,0.00076,0.00088,0.00103,0.00124,0.00152,0.00181,0.00208,0.00231,0.00253,0.00286,0.00331,0.00382,0.00425,0.00482,0.00537,0.00602,0.00677,0.00736,0.00803,0.00891,0.01006,0.01140,0.01278
40,0.00049,0.00067,0.00083,0.00096,0.00114,0.00138,0.00172,0.00201,0.00225,0.00251,0.00280,0.00320,0.00368,0.00417,0.00464,0.00534,0.00599,0.00675,0.00732,0.00800,0.00887,0.01002,0.01136,0.01271,0.01413
41,0.00052,0.00072,0.00091,0.00108,0.00128,0.00156,0.00192,0.00220,0.00244,0.00278,0.00313,0.00361,0.00410,0.00461,0.00507,0.00595,0.00671,0.00730,0.00798,0.00884,0.00999,0.01132,0.01264,0.01411,0.01557
42,0.00055,0.00080,0.00103,0.00122,0.00145,0.00175,0.00212,0.00241,0.00270,0.00312,0.00352,0.00408,0.00459,0.00504,0.00564,0.00668,0.00727,0.00794,0.00880,0.00995,0.01128,0.01261,0.01403,0.01549,0.01688
43,0.00058,0.00084,0.00109,0.00132,0.00157,0.00187,0.00225,0.00261,0.00296,0.00342,0.00386,0.00448,0.00499,0.00564,0.00632,0.00724,0.00792,0.00877,0.00991,0.01124,0.01257,0.01396,0.01540,0.01681,0.01821
44,0.00062,0.00090,0.00116,0.00141,0.00168,0.00200,0.00243,0.00286,0.00327,0.00377,0.00424,0.00494,0.00553,0.00629,0.00687,0.00789,0.00872,0.00986,0.01115,0.01251,0.01388,0.01532,0.01672,0.01811,0.01949
45,0.00068,0.00097,0.00123,0.00149,0.00180,0.00217,0.00265,0.00315,0.00363,0.00418,0.00468,0.00542,0.00628,0.00684,0.00751,0.00868,0.00982,0.01107,0.01248,0.01381,0.01524,0.01663,0.01801,0.01927,0.02063
46,0.00076,0.00104,0.00129,0.00158,0.00195,0.00239,0.00291,0.00348,0.00405,0.00464,0.00514,0.00593,0.00678,0.00748,0.00831,0.00977,0.01094,0.01236,0.01373,0.01515,0.01653,0.01791,0.01906,0.02039,0.02225
47,0.00084,0.00110,0.00135,0.00170,0.00215,0.00265,0.00320,0.00387,0.00453,0.00513,0.00562,0.00632,0.00735,0.00827,0.00937,0.01088,0.01224,0.01370,0.01515,0.01644,0.01771,0.01884,0.02016,0.02199,0.02404
48,0.00090,0.00119,0.00149,0.00188,0.00234,0.00286,0.00348,0.00423,0.00495,0.00562,0.00603,0.00680,0.00798,0.00917,0.01058,0.01217,0.01366,0.01507,0.01642,0.01761,0.01873,0.02004,0.02174,0.02362,0.02619
49,0.00098,0.00131,0.00167,0.00209,0.00255,0.00310,0.00379,0.00460,0.00540,0.00601,0.00649,0.00741,0.00877,0.01026,0.01190,0.01355,0.01500,0.01633,0.01747,0.01862,0.01992,0.02148,0.02320,0.02573,0.02853
50,0.00108,0.00146,0.00187,0.00233,0.00280,0.00337,0.00410,0.00498,0.00573,0.00645,0.00707,0.00817,0.00972,0.01145,0.01326,0.01486,0.01626,0.01740,0.01852,0.01981,0.02123,0.02292,0.02527,0.02803,0.03110
51,0.00120,0.00163,0.00212,0.00261,0.00308,0.00364,0.00443,0.00526,0.00612,0.00700,0.00779,0.00908,0.01074,0.01266,0.01469,0.01612,0.01732,0.01841,0.01962,0.02110,0.02264,0.02481,0.02753,0.03055,0.03352
52,0.00134,0.00184,0.00241,0.00294,0.00337,0.00392,0.00465,0.00557,0.00659,0.00769,0.00866,0.01006,0.01176,0.01390,0.01606,0.01722,0.01830,0.01946,0.02097,0.02236,0.02450,0.02719,0.02981,0.03292,0.03836
53,0.00141,0.00199,0.00266,0.00323,0.00370,0.00424,0.00510,0.00617,0.00736,0.00862,0.00973,0.01113,0.01288,0.01490,0.01691,0.01819,0.01934,0.02071,0.02222,0.02441,0.02685,0.02945,0.03232,0.03792,0.04394
54,0.00147,0.00216,0.00292,0.00354,0.00398,0.00462,0.00566,0.00693,0.00829,0.00964,0.01083,0.01223,0.01394,0.01584,0.01776,0.01922,0.02059,0.02208,0.02429,0.02669,0.02926,0.03192,0.03704,0.04321,0.05029
55,0.00154,0.00234,0.00320,0.00378,0.00429,0.00509,0.00636,0.00785,0.00931,0.01068,0.01197,0.01327,0.01496,0.01682,0.01855,0.02046,0.02194,0.02420,0.02652,0.02908,0.03172,0.03659,0.04248,0.04921,0.05635
56,0.00159,0.00251,0.00342,0.00406,0.00468,0.00567,0.00720,0.00886,0.01035,0.01175,0.01307,0.01428,0.01603,0.01776,0.01953,0.02180,0.02404,0.02635,0.02889,0.03152,0.03637,0.04199,0.04866,0.05515,0.06355
57,0.00163,0.00264,0.00368,0.00440,0.00516,0.00638,0.00814,0.00991,0.01144,0.01278,0.01417,0.01535,0.01710,0.01892,0.02060,0.02389,0.02618,0.02871,0.03132,0.03615,0.04150,0.04812,0.05455,0.06222,0.07138
58,0.00177,0.00281,0.00391,0.00482,0.00581,0.00724,0.00905,0.01080,0.01224,0.01359,0.01500,0.01628,0.01837,0.02056,0.02249,0.02602,0.02853,0.03119,0.03593,0.04101,0.04758,0.05365,0.06156,0.07066,0.07864
59,0.00194,0.00303,0.00421,0.00532,0.00652,0.00813,0.00999,0.01162,0.01299,0.01442,0.01580,0.01742,0.01981,0.02243,0.02459,0.02834,0.03103,0.03571,0.04053,0.04704,0.05305,0.06090,0.06993,0.07824,0.08538
60,0.00215,0.00330,0.00457,0.00585,0.00725,0.00907,0.01090,0.01241,0.01376,0.01523,0.01679,0.01870,0.02143,0.02450,0.02693,0.03083,0.03561,0.04028,0.04650,0.05245,0.06024,0.06920,0.07785,0.08495,0.09360
61,0.00241,0.00363,0.00493,0.00637,0.00800,0.00999,0.01180,0.01322,0.01449,0.01623,0.01788,0.02014,0.02322,0.02681,0.02938,0.03527,0.04004,0.04596,0.05185,0.05957,0.06847,0.07745,0.08477,0.09351,0.10328
62,0.00273,0.00398,0.00526,0.00688,0.00873,0.01092,0.01275,0.01402,0.01540,0.01734,0.01965,0.02172,0.02519,0.02922,0.03363,0.03979,0.04569,0.05156,0.05924,0.06774,0.07705,0.08452,0.09342,0.10318,0.11558
63,0.00290,0.00438,0.00593,0.00771,0.00969,0.01194,0.01379,0.01537,0.01700,0.01915,0.02123,0.02435,0.02829,0.03324,0.03845,0.04542,0.05126,0.05891,0.06738,0.07665,0.08434,0.09332,0.10308,0.11558,0.12784
64,0.00304,0.00479,0.00659,0.00857,0.01074,0.01298,0.01505,0.01691,0.01883,0.02118,0.02361,0.02719,0.03204,0.03811,0.04391,0.05096,0.05858,0.06701,0.07626,0.08408,0.09323,0.10297,0.11547,0.12784,0.14006
65,0.00316,0.00517,0.00728,0.00951,0.01184,0.01425,0.01649,0.01867,0.02090,0.02346,0.02616,0.03060,0.03658,0.04364,0.04996,0.05825,0.06665,0.07586,0.08383,0.09313,0.10287,0.11535,0.12771,0.13992,0.15184
66,0.00323,0.00554,0.00802,0.01049,0.01316,0.01569,0.01813,0.02064,0.02322,0.02589,0.02924,0.03474,0.04171,0.04993,0.05733,0.06629,0.07546,0.08365,0.09304,0.10276,0.11524,0.12758,0.13978,0.15169,0.16371
67,0.00325,0.00592,0.00880,0.01167,0.01468,0.01735,0.01996,0.02286,0.02570,0.02882,0.03295,0.03940,0.04754,0.05683,0.06547,0.07507,0.08331,0.09285,0.10266,0.11512,0.12746,0.13964,0.15154,0.16354,0.17782
68,0.00403,0.00689,0.00996,0.01301,0.01602,0.01883,0.02171,0.02466,0.02761,0.03093,0.03529,0.04174,0.04934,0.05813,0.07192,0.08305,0.09266,0.10245,0.11500,0.12733,0.13950,0.15139,0.16338,0.17764,0.19353
69,0.00490,0.00804,0.01130,0.01454,0.01752,0.02047,0.02352,0.02683,0.02989,0.03313,0.03773,0.04389,0.05528,0.06870,0.08111,0.09257,0.10224,0.11489,0.12720,0.13950,0.15139,0.16322,0.17746,0.19333,0.21345
70,0.00594,0.00937,0.01285,0.01628,0.01918,0.02217,0.02571,0.02944,0.03230,0.03542,0.04008,0.05076,0.06112,0.07906,0.09117,0.10214,0.11477,0.12707,0.13936,0.15123,0.16322,0.17746,0.19333,0.21324,0.23423
71,0.00714,0.01093,0.01462,0.01824,0.02093,0.02421,0.02833,0.03227,0.03539,0.03764,0.04565,0.05768,0.07677,0.08929,0.10161,0.11466,0.12694,0.13936,0.15123,0.16305,0.17728,0.19314,0.21324,0.23400,0.25253
72,0.00855,0.01272,0.01663,0.02036,0.02303,0.02666,0.03120,0.03537,0.03747,0.04358,0.05348,0.07456,0.08622,0.09938,0.11213,0.12682,0.13922,0.15108,0.16289,0.17710,0.19295,0.21303,0.23376,0.25228,0.26709
73,0.00906,0.01325,0.01847,0.02116,0.02441,0.02812,0.03237,0.03720,0.04334,0.05005,0.07244,0.08398,0.09673,0.10876,0.12541,0.13740,0.14895,0.16207,0.17604,0.19159,0.20919,0.23283,0.25001,0.26019,0.27242
74,0.00994,0.01445,0.02028,0.02344,0.02704,0.03177,0.03641,0.04334,0.05005,0.06899,0.07926,0.09257,0.10529,0.12157,0.13460,0.14743,0.16043,0.17426,0.18966,0.20705,0.23236,0.25001,0.25997,0.27242,0.28031
75,0.01044,0.01587,0.02246,0.02595,0.03057,0.03508,0.04152,0.05005,0.06640,0.07549,0.08841,0.10181,0.11773,0.13179,0.14591,0.15880,0.17248,0.18772,0.20705,0.23072,0.25001,0.25973,0.27242,0.28031,0.28967
76,0.01146,0.01758,0.02487,0.02997,0.03376,0.04006,0.04766,0.06296,0.07171,0.08425,0.09719,0.11389,0.12899,0.14439,0.15552,0.17070,0.18579,0.20492,0.23072,0.24748,0.25950,0.27242,0.28031,0.28967,0.31284
77,0.01269,0.01947,0.02758,0.03310,0.03861,0.04528,0.05347,0.06794,0.08009,0.09372,0.11005,0.12759,0.13983,0.15552,0.16892,0.18385,0.20492,0.22955,0.24748,0.25926,0.27242,0.28031,0.28967,0.31284,0.33944
78,0.01406,0.02158,0.03045,0.03715,0.04369,0.05174,0.06133,0.07489,0.09024,0.10621,0.12478,0.13831,0.15061,0.16715,0.18192,0.20278,0.22721,0.24496,0.25904,0.27242,0.28031,0.28967,0.31284,0.33944,0.36998
79,0.01559,0.02383,0.03351,0.04131,0.04743,0.05945,0.07073,0.08562,0.10237,0.12057,0.13679,0.14897,0.16359,0.18192,0.20278,0.22721,0.24496,0.25880,0.27242,0.28031,0.28967,0.31284,0.33944,0.36998,0.40513
80,0.01721,0.02622,0.03654,0.04571,0.05190,0.06761,0.08099,0.09854,0.11637,0.13375,0.14734,0.16181,0.17998,0.20065,0.22603,0.24496,0.25874,0.27242,0.28031,0.28967,0.31284,0.33944,0.36998,0.40513,0.44565
81,0.01894,0.02860,0.03967,0.05190,0.06241,0.07867,0.09470,0.11216,0.13071,0.14570,0.16003,0.17805,0.20065,0.22486,0.24496,0.25867,0.27242,0.28031,0.28967,0.31284,0.33944,0.36998,0.40513,0.44565,0.49467
82,0.02065,0.03105,0.04529,0.05929,0.07173,0.09086,0.10655,0.12539,0.14243,0.15826,0.17805,0.19851,0.22369,0.24369,0.25861,0.27242,0.28031,0.28967,0.31284,0.33944,0.36998,0.40513,0.44565,0.49467,0.55403
83,0.02242,0.03774,0.05201,0.06942,0.08574,0.10235,0.12159,0.13915,0.15470,0.17611,0.19638,0.22252,0.24243,0.25853,0.27242,0.28031,0.28967,0.31284,0.33944,0.36998,0.40513,0.44565,0.49467,0.55403,0.62605
84,0.02642,0.04368,0.06016,0.08318,0.09814,0.11704,0.13751,0.15114,0.17224,0.19424,0.22018,0.24243,0.25846,0.27242,0.28031,0.28967,0.31284,0.33944,0.36998,0.40513,0.44565,0.49467,0.55403,0.62605,0.70744
85,0.03640,0.05206,0.07038,0.09253,0.11248,0.13097,0.14937,0.17224,0.19424,0.21784,0.24243,0.25839,0.27242,0.28031,0.28967,0.31284,0.33944,0.36998,0.40513,0.44565,0.49467,0.55403,0.62605,0.70744,0.79940
86,0.04397,0.06398,0.08132,0.10640,0.12605,0.14581,0.17030,0.19211,0.21549,0.24117,0.25832,0.27242,0.28031,0.28967,0.31284,0.33944,0.36998,0.40513,0.44565,0.49467,0.55403,0.62605,0.70744,0.79940,0.86336
87,0.05375,0.07711,0.09576,0.11951,0.14225,0.16643,0.18997,0.21432,0.23991,0.25824,0.27242,0.28031,0.28967,0.31284,0.33944,0.36998,0.40513,0.44565,0.49467,0.55403,0.62605,0.70744,0.79940,0.86336,0.90652
88,0.06730,0.09120,0.10968,0.13336,0.16256,0.18997,0.21315,0.23991,0.25817,0.27242,0.28031,0.28967,0.31284,0.33944,0.36998,0.40513,0.44565,0.49467,0.55403,0.62605,0.70744,0.79940,0.86336,0.90652,0.93372
89,0.08056,0.10641,0.12803,0.15482,0.18571,0.21081,0.23991,0.25811,0.27242,0.28031,0.28967,0.31284,0.33944,0.36998,0.40513,0.44565,0.49467,0.55403,0.62605,0.70744,0.79940,0.86336,0.90652,0.93372,0.95239
90,0.09822,0.12447,0.14515,0.17930,0.21081,0.23864,0.25804,0.27242,0.28031,0.28967,0.31284,0.33944,0.36998,0.40513,0.44565,0.49467,0.55403,0.62605,0.70744,0.79940,0.86336,0.90652,0.93372,0.95239,0.96668
91,0.11380,0.14321,0.17076,0.20378,0.23485,0.25796,0.27242,0.28031,0.28967,0.31284,0.33944,0.36998,0.40513,0.44565,0.49467,0.55403,0.62605,0.70744,0.79940,0.86336,0.90652,0.93372,0.95239,0.96668,0.97635
92,0.13160,0.16649,0.19910,0.22980,0.25774,0.27242,0.28031,0.28967,0.31284,0.33944,0.36998,0.40513,0.44565,0.49467,0.55403,0.62605,0.70744,0.79940,0.86336,0.90652,0.93372,0.95239,0.96668,0.97635,0.98123
93,0.15369,0.19910,0.22728,0.25723,0.27242,0.28031,0.28967,0.31284,0.33944,0.36998,0.40513,0.44565,0.49467,0.55403,0.62605,0.70744,0.79940,0.86336,0.90652,0.93372,0.95239,0.96668,0.97635,0.98123,0.98614
94,0.18739,0.22728,0.25559,0.27242,0.28031,0.28967,0.31284,0.33944,0.36998,0.40513,0.44565,0.49467,0.55403,0.62605,0.70744,0.79940,0.86336,0.90652,0.93372,0.95239,0.96668,0.97635,0.98123,0.98614,0.99107
95,0.21718,0.25373,0.27242,0.28031,0.28967,0.31284,0.33944,0.36998,0.40513,0.44565,0.49467,0.55403,0.62605,0.70744,0.79940,0.86336,0.90652,0.93372,0.95239,0.96668,0.97635,0.98123,0.98614,0.99107,0.99602
