Data Type:,Floating Point,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,Duration,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,Ordinal Date,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,Duration,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",0,1,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",1,15,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,1,,,,,,,,,,,,,

Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0.00580,0.00133,0.00084,0.00065,0.00053,0.00048,0.00042,0.00039,0.00035,0.00032,0.00031,0.00031,0.00033,0.00042,0.00052
1,0.00133,0.00084,0.00065,0.00053,0.00048,0.00042,0.00039,0.00035,0.00032,0.00031,0.00031,0.00033,0.00042,0.00052,0.00067

Table # ,2,,,,,,,,,,,,,,
Table Description:,1965-70 Basic Table – Male. Basis: Age Nearest Birthday. Minimum Select Age: 2. Maximum Select Age: 72,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,Duration,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,Ordinal Date,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,Duration,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",2,1,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",72,15,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",5,1,,,,,,,,,,,,,

Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
2,0.00065,0.00053,0.00048,0.00042,0.00039,0.00035,0.00032,0.00031,0.00031,0.00033,0.00042,0.00052,0.00067,0.00081,0.00095
7,0.00039,0.00035,0.00032,0.00031,0.00031,0.00033,0.00042,0.00052,0.00067,0.00081,0.00095,0.00107,0.00116,0.00119,0.00116
12,0.00033,0.00042,0.00052,0.00067,0.00081,0.00095,0.00107,0.00116,0.00119,0.00116,0.00113,0.00111,0.00110,0.00108,0.00107
17,0.00092,0.00099,0.00103,0.00107,0.00111,0.00110,0.00109,0.00108,0.00107,0.00106,0.00104,0.00109,0.00113,0.00118,0.00123
22,0.00069,0.00074,0.00081,0.00084,0.00083,0.00082,0.00083,0.00086,0.00090,0.00095,0.00101,0.00111,0.00122,0.00136,0.00150
27,0.00057,0.00063,0.00075,0.00077,0.00080,0.00084,0.00091,0.00100,0.00112,0.00124,0.00141,0.00163,0.00184,0.00208,0.00237
32,0.00075,0.00087,0.00098,0.00110,0.00119,0.00133,0.00146,0.00168,0.00192,0.00217,0.00247,0.00275,0.00306,0.00346,0.00396
37,0.00086,0.00111,0.00141,0.00166,0.00190,0.00216,0.00246,0.00277,0.00314,0.00358,0.00405,0.00453,0.00499,0.00564,0.00654
42,0.00136,0.00189,0.00235,0.00280,0.00310,0.00367,0.00413,0.00464,0.00520,0.00579,0.00651,0.00721,0.00815,0.00923,0.001041
47,0.00194,0.00270,0.00354,0.00423,0.00485,0.00557,0.00640,0.00713,0.00780,0.00866,0.00977,0.01105,0.01276,0.01455,0.01643
52,0.00261,0.00403,0.00531,0.00629,0.00701,0.00858,0.01015,0.01126,0.01229,0.01374,0.01518,0.01705,0.01954,0.02208,0.02417
57,0.00365,0.00548,0.00767,0.00928,0.01022,0.01180,0.01387,0.01530,0.01681,0.01916,0.02174,0.02491,0.02823,0.03227,0.03591
62,0.00589,0.00853,0.001192,0.01504,0.01635,0.01739,0.01905,0.02137,0.02434,0.02808,0.03330,0.03982,0.04431,0.04757,0.05036
67,0.00974,0.01368,0.01751,0.02069,0.02388,0.02594,0.02842,0.03077,0.03538,0.04198,0.05009,0.05690,0.06179,0.06673,0.07264
72,0.01038,0.01437,0.01856,0.02307,0.03010,0.03815,0.04691,0.05667,0.06732,0.07921,0.09055,0.10380,0.11522,0.12375,0.13386

Table # ,3,,,,,,,,,,,,,,
Table Description:,1965-70 Basic Table – Male. Basis: Age Nearest Birthday. Minimum Ultimate Age: 15. Maximum Ultimate Age: 100,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",15,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",100,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,,,,,,,,,,,,,,

Row\Column,1,,,,,,,,,,,,,,
15,0.00067,,,,,,,,,,,,,,
16,0.00081,,,,,,,,,,,,,,
17,0.00095,,,,,,,,,,,,,,
18,0.00107,,,,,,,,,,,,,,
19,0.00116,,,,,,,,,,,,,,
20,0.00119,,,,,,,,,,,,,,
21,0.00116,,,,,,,,,,,,,,
22,0.00113,,,,,,,,,,,,,,
23,0.00111,,,,,,,,,,,,,,
24,0.00110,,,,,,,,,,,,,,
25,0.00108,,,,,,,,,,,,,,
26,0.00107,,,,,,,,,,,,,,
27,0.00104,,,,,,,,,,,,,,
28,0.00109,,,,,,,,,,,,,,
29,0.00113,,,,,,,,,,,,,,
30,0.00118,,,,,,,,,,,,,,
31,0.00123,,,,,,,,,,,,,,
32,0.00125,,,,,,,,,,,,,,
33,0.00128,,,,,,,,,,,,,,
34,0.00133,,,,,,,,,,,,,,
35,0.00140,,,,,,,,,,,,,,
36,0.00150,,,,,,,,,,,,,,
37,0.00163,,,,,,,,,,,,,,
38,0.00179,,,,,,,,,,,,,,
39,0.00198,,,,,,,,,,,,,,
40,0.00220,,,,,,,,,,,,,,
41,0.00243,,,,,,,,,,,,,,
42,0.00268,,,,,,,,,,,,,,
43,0.00296,,,,,,,,,,,,,,
44,0.00327,,,,,,,,,,,,,,
45,0.00362,,,,,,,,,,,,,,
46,0.00399,,,,,,,,,,,,,,
47,0.00442,,,,,,,,,,,,,,
48,0.00492,,,,,,,,,,,,,,
49,0.00551,,,,,,,,,,,,,,
50,0.00617,,,,,,,,,,,,,,
51,0.00684,,,,,,,,,,,,,,
52,0.00750,,,,,,,,,,,,,,
53,0.00823,,,,,,,,,,,,,,
54,0.00905,,,,,,,,,,,,,,
55,0.01003,,,,,,,,,,,,,,
56,0.01117,,,,,,,,,,,,,,
57,0.01242,,,,,,,,,,,,,,
58,0.01373,,,,,,,,,,,,,,
59,0.01510,,,,,,,,,,,,,,
60,0.01650,,,,,,,,,,,,,,
61,0.01801,,,,,,,,,,,,,,
62,0.01969,,,,,,,,,,,,,,
63,0.02163,,,,,,,,,,,,,,
64,0.02381,,,,,,,,,,,,,,
65,0.02617,,,,,,,,,,,,,,
66,0.02873,,,,,,,,,,,,,,
67,0.03140,,,,,,,,,,,,,,
68,0.03421,,,,,,,,,,,,,,
69,0.03699,,,,,,,,,,,,,,
70,0.03992,,,,,,,,,,,,,,
71,0.04346,,,,,,,,,,,,,,
72,0.04747,,,,,,,,,,,,,,
73,0.05173,,,,,,,,,,,,,,
74,0.05643,,,,,,,,,,,,,,
75,0.06164,,,,,,,,,,,,,,
76,0.06741,,,,,,,,,,,,,,
77,0.07371,,,,,,,,,,,,,,
78,0.08063,,,,,,,,,,,,,,
79,0.08800,,,,,,,,,,,,,,
80,0.09560,,,,,,,,,,,,,,
81,0.10329,,,,,,,,,,,,,,
82,0.11163,,,,,,,,,,,,,,
83,0.12051,,,,,,,,,,,,,,
84,0.13063,,,,,,,,,,,,,,
85,0.14176,,,,,,,,,,,,,,
86,0.15397,,,,,,,,,,,,,,
87,0.16726,,,,,,,,,,,,,,
88,0.18142,,,,,,,,,,,,,,
89,0.19363,,,,,,,,,,,,,,
90,0.20296,,,,,,,,,,,,,,
91,0.21032,,,,,,,,,,,,,,
92,0.21776,,,,,,,,,,,,,,
93,0.23007,,,,,,,,,,,,,,
94,0.24883,,,,,,,,,,,,,,
95,0.26793,,,,,,,,,,,,,,
96,0.27978,,,,,,,,,,,,,,
97,0.29283,,,,,,,,,,,,,,
98,0.30615,,,,,,,,,,,,,,
99,0.31974,,,,,,,,,,,,,,
100,0.33356,,,,,,,,,,,,,,
