60,0.00627,0.00914,0.01250,0.01555,0.01702,0.01840,0.02031,0.02267,0.02570,0.02945,0.03425,0.04000,0.04436,0.04790,0.05158
65,0.00899,0.01273,0.01586,0.01897,0.02265,0.02607,0.02906,0.03145,0.03615,0.04278,0.05100,0.05793,0.06289,0.06693,0.07294
70,0.01301,0.01862,0.02338,0.02836,0.03594,0.04402,0.05342,0.06400,0.07573,0.08804,0.09997,0.11392,0.12603,0.13500,0.14603

Table # ,2,,,,,,,,,,,,,,
Table Description:,1955-60 Basic Table – Male and Female Combined. Basis: Age Nearest Birthday. Minimum Ultimate Age: 15. Maximum Ultimate Age: 95,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",15,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",95,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,,,,,,,,,,,,,,

Row\Column,1,,,,,,,,,,,,,,
15,0.00061,,,,,,,,,,,,,,
16,0.00068,,,,,,,,,,,,,,
17,0.00074,,,,,,,,,,,,,,
18,0.00081,,,,,,,,,,,,,,
19,0.00086,,,,,,,,,,,,,,
20,0.00090,,,,,,,,,,,,,,
21,0.00094,,,,,,,,,,,,,,
22,0.00095,,,,,,,,,,,,,,
23,0.00096,,,,,,,,,,,,,,
24,0.00098,,,,,,,,,,,,,,
25,0.00100,,,,,,,,,,,,,,
26,0.00102,,,,,,,,,,,,,,
27,0.00104,,,,,,,,,,,,,,
28,0.00105,,,,,,,,,,,,,,
29,0.00105,,,,,,,,,,,,,,
30,0.00106,,,,,,,,,,,,,,
31,0.00107,,,,,,,,,,,,,,
32,0.00110,,,,,,,,,,,,,,
33,0.00116,,,,,,,,,,,,,,
34,0.00122,,,,,,,,,,,,,,
35,0.00131,,,,,,,,,,,,,,
36,0.00142,,,,,,,,,,,,,,
37,0.00153,,,,,,,,,,,,,,
38,0.00168,,,,,,,,,,,,,,
39,0.00185,,,,,,,,,,,,,,
40,0.00207,,,,,,,,,,,,,,
41,0.00233,,,,,,,,,,,,,,
42,0.00262,,,,,,,,,,,,,,
43,0.00295,,,,,,,,,,,,,,
44,0.00331,,,,,,,,,,,,,,
45,0.00373,,,,,,,,,,,,,,
46,0.00422,,,,,,,,,,,,,,
47,0.00474,,,,,,,,,,,,,,
48,0.00531,,,,,,,,,,,,,,
49,0.00596,,,,,,,,,,,,,,
50,0.00661,,,,,,,,,,,,,,
51,0.00729,,,,,,,,,,,,,,
52,0.00802,,,,,,,,,,,,,,
53,0.00882,,,,,,,,,,,,,,
54,0.00969,,,,,,,,,,,,,,
55,0.01066,,,,,,,,,,,,,,
56,0.01173,,,,,,,,,,,,,,
57,0.01291,,,,,,,,,,,,,,
58,0.01424,,,,,,,,,,,,,,
59,0.01571,,,,,,,,,,,,,,
60,0.01731,,,,,,,,,,,,,,
61,0.01902,,,,,,,,,,,,,,
62,0.02090,,,,,,,,,,,,,,
63,0.02295,,,,,,,,,,,,,,
64,0.02515,,,,,,,,,,,,,,
65,0.02752,,,,,,,,,,,,,,
66,0.03004,,,,,,,,,,,,,,
67,0.03271,,,,,,,,,,,,,,
68,0.03556,,,,,,,,,,,,,,
69,0.03888,,,,,,,,,,,,,,
70,0.04247,,,,,,,,,,,,,,
71,0.04599,,,,,,,,,,,,,,
72,0.04946,,,,,,,,,,,,,,
73,0.05319,,,,,,,,,,,,,,
74,0.05758,,,,,,,,,,,,,,
75,0.06273,,,,,,,,,,,,,,
76,0.06836,,,,,,,,,,,,,,
77,0.07435,,,,,,,,,,,,,,
78,0.08116,,,,,,,,,,,,,,
79,0.08879,,,,,,,,,,,,,,
80,0.09672,,,,,,,,,,,,,,
81,0.10438,,,,,,,,,,,,,,
82,0.11228,,,,,,,,,,,,,,
83,0.12168,,,,,,,,,,,,,,
84,0.13366,,,,,,,,,,,,,,
85,0.14769,,,,,,,,,,,,,,
86,0.16430,,,,,,,,,,,,,,
87,0.18032,,,,,,,,,,,,,,
88,0.19476,,,,,,,,,,,,,,
89,0.21114,,,,,,,,,,,,,,
90,0.22738,,,,,,,,,,,,,,
91,0.24454,,,,,,,,,,,,,,
92,0.25943,,,,,,,,,,,,,,
93,0.27405,,,,,,,,,,,,,,
94,0.29903,,,,,,,,,,,,,,
95,0.33498,,,,,,,,,,,,,,
