Table Name:,"Miller's Ordinary Select '30-'39 Mortality Table, ANB",,
36,0.00198,0.00262,0.00322
37,0.00212,0.00282,0.00348
38,0.00228,0.00305,0.00377
39,0.00246,0.00330,0.00410
40,0.00266,0.00358,0.00446
41,0.00289,0.00390,0.00486
42,0.00314,0.00425,0.00531
43,0.00342,0.00464,0.00581
44,0.00373,0.00506,0.00635
45,0.00407,0.00553,0.00694
46,0.00445,0.00605,0.00760
47,0.00486,0.00662,0.00833
48,0.00531,0.00725,0.00913
49,0.00581,0.00794,0.01000
50,0.00636,0.00870,0.01096
51,0.00696,0.00953,0.01200
52,0.00762,0.01043,0.01313
53,0.00833,0.01141,0.01435
54,0.00910,0.01246,0.01566
55,0.00993,0.01359,0.01707
56,0.01083,0.01481,0.01860
57,0.01180,0.01613,0.02026
58,0.01284,0.01756,0.02206
59,0.01396,0.01911,0.02401
60,0.01517,0.02079,0.02613
61,0.01649,0.02261,0.02842
62,0.01792,0.02458,0.03090
63,0.01947,0.02671,0.03357
64,0.02114,0.02900,0.03644
65,0.02293,0.03148,0.03953

Table # ,2,,
Table Description:,Miller's Ordinary Select 1930-1939 Mortality Table. Basis: Age Nearest Birthday. Minimum Ultimate Age: 3. Maximum Ultimate Age: 100,,
Nation:,United States of America,,
Scaling Factor:,0,,
Data Type:,Floating Point,,
"Row, Column (if applicable)->id:",Age,,
"Row, Column (if applicable)->ScaleType:",Age,,
"Row, Column (if applicable)->AxisName:",Age,,
"Row, Column (if applicable)->MinScaleValue:",3,,
"Row, Column (if applicable)->MaxScaleValue:",100,,
"Row, Column (if applicable)->Increment:",1,,

Row\Column,1,,
3,0.00260,,
4,0.00226,,
5,0.00202,,
6,0.00181,,
7,0.00161,,
8,0.00142,,
9,0.00125,,
10,0.00112,,
11,0.00105,,
12,0.00104,,
13,0.00109,,
14,0.00119,,
15,0.00129,,
16,0.00138,,
17,0.00146,,
18,0.00154,,
19,0.00162,,
20,0.00170,,
21,0.00178,,
22,0.00185,,
23,0.00191,,
24,0.00196,,
25,0.00200,,
26,0.00204,,
27,0.00208,,
28,0.00212,,
29,0.00217,,
30,0.00223,,
31,0.00230,,
32,0.00239,,
33,0.00250,,
34,0.00263,,
35,0.00279,,
36,0.00298,,
37,0.00320,,
38,0.00345,,
39,0.00373,,
40,0.00404,,
41,0.00439,,
42,0.00478,,
43,0.00521,,
44,0.00569,,
45,0.00622,,
46,0.00680,,
47,0.00744,,
48,0.00815,,
49,0.00893,,
50,0.00979,,
51,0.01073,,
52,0.01176,,
53,0.01288,,
54,0.01409,,
55,0.01540,,
56,0.01681,,
57,0.01833,,
58,0.01998,,
59,0.02177,,
60,0.02371,,
61,0.02581,,
62,0.02809,,
63,0.03056,,
64,0.03323,,
65,0.03611,,
66,0.03921,,
67,0.04254,,
68,0.04612,,
69,0.04998,,
70,0.05415,,
71,0.05865,,
72,0.06355,,
73,0.06889,,
74,0.07472,,
75,0.08109,,
76,0.08805,,
77,0.09565,,
78,0.10388,,
79,0.11273,,
80,0.12216,,
81,0.13212,,
82,0.14256,,
83,0.15347,,
84,0.16491,,
85,0.17705,,
86,0.19020,,
87,0.20486,,
88,0.22171,,
89,0.24162,,
90,0.26561,,
91,0.29483,,
92,0.33045,,
93,0.37382,,
94,0.42612,,
95,0.48886,,
96,0.56315,,
97,0.64966,,
98,0.75081,,
99,0.87013,,
100,1.00000,,
